node,calculated_community
963,572
964,583
965,583
966,583
967,583
968,583
969,583
970,573
971,574
972,583
973,583
974,575
975,583
976,577
977,583
978,583
979,583
980,576
981,577
982,583
983,578
984,579
985,583
986,583
987,580
988,583
989,583
990,581
991,583
992,583
993,583
994,583
995,583
996,583
997,583
998,583
999,583
1000,582
1001,583
1002,583
1003,583
1004,583
